onset	duration	sample	trial_type	value
0	0.0001	1	New Segment	n/a
13.317	0.0001	133171	Stimulus	S  1
13.423	0.0001	134231	Stimulus	S  4
13.443	0.0001	134431	Stimulus	S  4
13.463	0.0001	134631	Stimulus	S  4
13.483	0.0001	134831	Stimulus	S  4
13.503	0.0001	135031	Stimulus	S  4
13.523	0.0001	135231	Stimulus	S  4
13.543	0.0001	135431	Stimulus	S  4
13.563	0.0001	135631	Stimulus	S  4
13.583	0.0001	135831	Stimulus	S  4
49.7948	0.0001	497949	Stimulus	S  2
60.8256	0.0001	608257	Stimulus	S  1
60.9336	0.0001	609337	Stimulus	S  8
60.9536	0.0001	609537	Stimulus	S  4
60.9736	0.0001	609737	Stimulus	S  4
60.9936	0.0001	609937	Stimulus	S  4
61.0136	0.0001	610137	Stimulus	S  4
61.0336	0.0001	610337	Stimulus	S  4
61.0536	0.0001	610537	Stimulus	S  4
61.0736	0.0001	610737	Stimulus	S  4
61.0936	0.0001	610937	Stimulus	S  8
107.3074	0.0001	1073075	Stimulus	S  2
110.3681	0.0001	1103682	Stimulus	S  1
110.4821	0.0001	1104822	Stimulus	S  4
110.5021	0.0001	1105022	Stimulus	S  4
110.5221	0.0001	1105222	Stimulus	S  4
110.5421	0.0001	1105422	Stimulus	S  4
110.5621	0.0001	1105622	Stimulus	S  4
110.5821	0.0001	1105822	Stimulus	S  4
110.6021	0.0001	1106022	Stimulus	S  4
110.6221	0.0001	1106222	Stimulus	S  8
110.6421	0.0001	1106422	Stimulus	S  4
146.8459	0.0001	1468460	Stimulus	S  2
149.2146	0.0001	1492147	Stimulus	S  1
149.3206	0.0001	1493207	Stimulus	S  8
149.3406	0.0001	1493407	Stimulus	S  4
149.3606	0.0001	1493607	Stimulus	S  4
149.3806	0.0001	1493807	Stimulus	S  4
149.4006	0.0001	1494007	Stimulus	S  4
149.4206	0.0001	1494207	Stimulus	S  4
149.4406	0.0001	1494407	Stimulus	S  4
149.4606	0.0001	1494607	Stimulus	S  8
149.4806	0.0001	1494807	Stimulus	S  8
181.6923	0.0001	1816924	Stimulus	S  2
186.731	0.0001	1867311	Stimulus	S  1
186.839	0.0001	1868391	Stimulus	S  4
186.859	0.0001	1868591	Stimulus	S  4
186.879	0.0001	1868791	Stimulus	S  4
186.899	0.0001	1868991	Stimulus	S  4
186.919	0.0001	1869191	Stimulus	S  4
186.939	0.0001	1869391	Stimulus	S  4
186.959	0.0001	1869591	Stimulus	S  8
186.979	0.0001	1869791	Stimulus	S  4
186.999	0.0001	1869991	Stimulus	S  4
223.2088	0.0001	2232089	Stimulus	S  2
226.2355	0.0001	2262356	Stimulus	S  1
226.3395	0.0001	2263396	Stimulus	S  8
226.3595	0.0001	2263596	Stimulus	S  4
226.3795	0.0001	2263796	Stimulus	S  4
226.3995	0.0001	2263996	Stimulus	S  4
226.4195	0.0001	2264196	Stimulus	S  4
226.4395	0.0001	2264396	Stimulus	S  4
226.4595	0.0001	2264596	Stimulus	S  8
226.4795	0.0001	2264796	Stimulus	S  4
226.4995	0.0001	2264996	Stimulus	S  8
260.7132	0.0001	2607133	Stimulus	S  2
263.7459	0.0001	2637460	Stimulus	S  1
263.8519	0.0001	2638520	Stimulus	S  4
263.8719	0.0001	2638720	Stimulus	S  4
263.8919	0.0001	2638920	Stimulus	S  4
263.9119	0.0001	2639120	Stimulus	S  4
263.9319	0.0001	2639320	Stimulus	S  4
263.9519	0.0001	2639520	Stimulus	S  4
263.9719	0.0001	2639720	Stimulus	S  8
263.9919	0.0001	2639920	Stimulus	S  8
264.0119	0.0001	2640120	Stimulus	S  4
300.2237	0.0001	3002238	Stimulus	S  2
302.7504	0.0001	3027505	Stimulus	S  1
302.8584	0.0001	3028585	Stimulus	S  4
302.8784	0.0001	3028785	Stimulus	S  4
302.8984	0.0001	3028985	Stimulus	S  4
302.9184	0.0001	3029185	Stimulus	S  4
302.9384	0.0001	3029385	Stimulus	S  4
302.9584	0.0001	3029585	Stimulus	S  4
302.9784	0.0001	3029785	Stimulus	S  8
302.9984	0.0001	3029985	Stimulus	S  8
303.0184	0.0001	3030185	Stimulus	S  8
340.7281	0.0001	3407282	Stimulus	S  2
342.2308	0.0001	3422309	Stimulus	S  1
342.3368	0.0001	3423369	Stimulus	S  4
342.3568	0.0001	3423569	Stimulus	S  4
342.3768	0.0001	3423769	Stimulus	S  4
342.3968	0.0001	3423969	Stimulus	S  4
342.4168	0.0001	3424169	Stimulus	S  4
342.4368	0.0001	3424369	Stimulus	S  8
342.4568	0.0001	3424569	Stimulus	S  4
342.4768	0.0001	3424769	Stimulus	S  4
342.4968	0.0001	3424969	Stimulus	S  4
374.7085	0.0001	3747086	Stimulus	S  2
377.7012	0.0001	3777013	Stimulus	S  1
377.8052	0.0001	3778053	Stimulus	S  4
377.8252	0.0001	3778253	Stimulus	S  4
377.8452	0.0001	3778453	Stimulus	S  4
377.8652	0.0001	3778653	Stimulus	S  4
377.8852	0.0001	3778853	Stimulus	S  4
377.9052	0.0001	3779053	Stimulus	S  8
377.9252	0.0001	3779253	Stimulus	S  4
377.9452	0.0001	3779453	Stimulus	S  4
377.9652	0.0001	3779653	Stimulus	S  8
410.1789	0.0001	4101790	Stimulus	S  2
417.4697	0.0001	4174698	Stimulus	S  1
417.5737	0.0001	4175738	Stimulus	S  8
417.5937	0.0001	4175938	Stimulus	S  4
417.6137	0.0001	4176138	Stimulus	S  4
417.6337	0.0001	4176338	Stimulus	S  4
417.6537	0.0001	4176538	Stimulus	S  4
417.6737	0.0001	4176738	Stimulus	S  8
417.6937	0.0001	4176938	Stimulus	S  4
417.7137	0.0001	4177138	Stimulus	S  8
417.7337	0.0001	4177338	Stimulus	S  4
456.2008	0.0001	4562009	Stimulus	S  2
460.9722	0.0001	4609723	Stimulus	S  1
461.0802	0.0001	4610803	Stimulus	S  8
461.1002	0.0001	4611003	Stimulus	S  4
461.1202	0.0001	4611203	Stimulus	S  4
461.1402	0.0001	4611403	Stimulus	S  4
461.1602	0.0001	4611603	Stimulus	S  4
461.1802	0.0001	4611803	Stimulus	S  8
461.2002	0.0001	4612003	Stimulus	S  4
461.2202	0.0001	4612203	Stimulus	S  8
461.2402	0.0001	4612403	Stimulus	S  8
503.45	0.0001	5034501	Stimulus	S  2
505.8887	0.0001	5058888	Stimulus	S  1
506.0047	0.0001	5060048	Stimulus	S  8
506.0247	0.0001	5060248	Stimulus	S  4
506.0447	0.0001	5060448	Stimulus	S  4
506.0647	0.0001	5060648	Stimulus	S  4
506.0847	0.0001	5060848	Stimulus	S  4
506.1047	0.0001	5061048	Stimulus	S  8
506.1247	0.0001	5061248	Stimulus	S  8
506.1447	0.0001	5061448	Stimulus	S  4
506.1647	0.0001	5061648	Stimulus	S  4
536.3664	0.0001	5363665	Stimulus	S  2
543.3991	0.0001	5433992	Stimulus	S  1
543.5051	0.0001	5435052	Stimulus	S  4
543.5251	0.0001	5435252	Stimulus	S  4
543.5451	0.0001	5435452	Stimulus	S  4
543.5651	0.0001	5435652	Stimulus	S  4
543.5851	0.0001	5435852	Stimulus	S  4
543.6051	0.0001	5436052	Stimulus	S  8
543.6251	0.0001	5436252	Stimulus	S  8
543.6451	0.0001	5436452	Stimulus	S  4
543.6651	0.0001	5436652	Stimulus	S  8
579.8769	0.0001	5798770	Stimulus	S  2
583.3836	0.0001	5833837	Stimulus	S  1
583.4876	0.0001	5834877	Stimulus	S  8
583.5076	0.0001	5835077	Stimulus	S  4
583.5276	0.0001	5835277	Stimulus	S  4
583.5476	0.0001	5835477	Stimulus	S  4
583.5676	0.0001	5835677	Stimulus	S  4
583.5876	0.0001	5835877	Stimulus	S  8
583.6076	0.0001	5836077	Stimulus	S  8
583.6276	0.0001	5836277	Stimulus	S  8
583.6476	0.0001	5836477	Stimulus	S  4
615.8613	0.0001	6158614	Stimulus	S  2
620.892	0.0001	6208921	Stimulus	S  1
621	0.0001	6210001	Stimulus	S  4
621.02	0.0001	6210201	Stimulus	S  4
621.04	0.0001	6210401	Stimulus	S  4
621.06	0.0001	6210601	Stimulus	S  4
621.08	0.0001	6210801	Stimulus	S  4
621.1	0.0001	6211001	Stimulus	S  8
621.12	0.0001	6211201	Stimulus	S  8
621.14	0.0001	6211401	Stimulus	S  8
621.16	0.0001	6211601	Stimulus	S  8
657.3698	0.0001	6573699	Stimulus	S  2
665.3985	0.0001	6653986	Stimulus	S  1
665.5085	0.0001	6655086	Stimulus	S  4
665.5285	0.0001	6655286	Stimulus	S  4
665.5485	0.0001	6655486	Stimulus	S  4
665.5685	0.0001	6655686	Stimulus	S  4
665.5885	0.0001	6655886	Stimulus	S  8
665.6085	0.0001	6656086	Stimulus	S  4
665.6285	0.0001	6656286	Stimulus	S  4
665.6485	0.0001	6656486	Stimulus	S  4
665.6685	0.0001	6656686	Stimulus	S  4
695.8762	0.0001	6958763	Stimulus	S  2
707.409	0.0001	7074091	Stimulus	S  1
707.515	0.0001	7075151	Stimulus	S  8
707.535	0.0001	7075351	Stimulus	S  4
707.555	0.0001	7075551	Stimulus	S  4
707.575	0.0001	7075751	Stimulus	S  4
707.595	0.0001	7075951	Stimulus	S  8
707.615	0.0001	7076151	Stimulus	S  4
707.635	0.0001	7076351	Stimulus	S  4
707.655	0.0001	7076551	Stimulus	S  4
707.675	0.0001	7076751	Stimulus	S  8
748.3908	0.0001	7483909	Stimulus	S  2
750.8795	0.0001	7508796	Stimulus	S  1
750.9915	0.0001	7509916	Stimulus	S  8
751.0115	0.0001	7510116	Stimulus	S  4
751.0315	0.0001	7510316	Stimulus	S  4
751.0515	0.0001	7510516	Stimulus	S  4
751.0715	0.0001	7510716	Stimulus	S  8
751.0915	0.0001	7510916	Stimulus	S  4
751.1115	0.0001	7511116	Stimulus	S  4
751.1315	0.0001	7511316	Stimulus	S  8
751.1515	0.0001	7511516	Stimulus	S  4
785.3613	0.0001	7853614	Stimulus	S  2
787.412	0.0001	7874121	Stimulus	S  1
787.518	0.0001	7875181	Stimulus	S  8
787.538	0.0001	7875381	Stimulus	S  4
787.558	0.0001	7875581	Stimulus	S  4
787.578	0.0001	7875781	Stimulus	S  4
787.598	0.0001	7875981	Stimulus	S  8
787.618	0.0001	7876181	Stimulus	S  4
787.638	0.0001	7876381	Stimulus	S  4
787.658	0.0001	7876581	Stimulus	S  8
787.678	0.0001	7876781	Stimulus	S  8
